warning: No library characterized for (process = 1.00 voltage = 0.85 temperature = -40.00) can be found in the database for power domain '/PD_TOP'  [NL-174]
Report Power (instances with prefix '*' are included in total) : 
-----+----------+--------------------+---------------------+-------------------+-----------------
     | Instance | Internal Power(uw) | Switching Power(uw) | Leakage Power(uw) | Total Power(uw) 
331  |*i_0_0_296|            0.388748|             1.391969|           0.005012|         1.785730
332  |*i_0_0_297|            0.388748|             1.391969|           0.005012|         1.785730
333  |*i_0_0_298|            0.388748|             1.391969|           0.005012|         1.785730
334  |*i_0_0_299|            0.388748|             1.391969|           0.005012|         1.785730
335  |*i_0_0_300|            0.388748|             1.391969|           0.005012|         1.785730
336  |*i_0_0_301|            0.388748|             1.391969|           0.005012|         1.785730
337  |*i_0_0_302|            0.388748|             1.391969|           0.005012|         1.785730
338  |*i_0_0_303|            0.388748|             1.391969|           0.005012|         1.785730
339  |*i_0_0_304|            0.376319|             1.391969|           0.005012|         1.773300
340  |*i_0_0_305|            0.792669|             0.880363|           0.008128|         1.681159
341  |*i_0_0_306|            0.345353|             4.216983|           0.002775|         4.565112
342  |*i_0_0_307|            0.346468|             2.092753|           0.002775|         2.441997
343  |*i_0_0_308|            0.340303|             1.852405|           0.002775|         2.195483
344  |*i_0_0_309|            0.337382|             1.548485|           0.002775|         1.888643
345  |*i_0_0_310|            0.340303|             1.852405|           0.002775|         2.195483
346  |*i_0_0_311|            0.335763|             1.464506|           0.002775|         1.803045
347  |*i_0_0_312|            0.341858|             3.050741|           0.002775|         3.395375
348  |*i_0_0_313|            0.340303|             1.852405|           0.002775|         2.195483
349  |*i_0_0_314|            0.335763|             1.464506|           0.002775|         1.803045
350  |          |                    |                     |                   |                 
351  |*TOTAL    |         2720.733154|          8551.250977|          25.334257|     11297.319336
-----+----------+--------------------+---------------------+-------------------+-----------------
